174. E1/E2 	6 / 0	22666,515 ms 22224/358
175. E1/E2 	14 / 0	22228,949 ms 21799/348
176. E1/E2 	24 / 0	22221,0506 ms 21788/350
177. E1/E2 	24 / 0	22467,0749 ms 22031/352
178. E1/E2 	56 / 0	22275,4072 ms 21842/348
179. E1/E2 	10 / 0	22210,0018 ms 21788/340
180. E1/E2 	4 / 0	22240,8452 ms 21821/339
181. E1/E2 	24 / 0	22156,4151 ms 21738/337
182. E1/E2 	69 / 0	22620,7755 ms 22179/354
183. E1/E2 	208 / 1	22650,3224 ms 22044/352
184. E1/E2 	258 / 0	22335,8339 ms 21890/346
185. E1/E2 	72 / 0	22299,6298 ms 21868/346
186. E1/E2 	56 / 0	22330,6204 ms 21899/348
187. E1/E2 	110 / 0	22351,9892 ms 21914/348
188. E1/E2 	136 / 0	22385,7158 ms 21946/347
189. E1/E2 	18 / 0	22349,2449 ms 21923/343
190. E1/E2 	38 / 0	22201,911 ms 21781/338
191. E1/E2 	30 / 0	22328,3035 ms 21905/341
192. E1/E2 	20 / 0	22255,0986 ms 21827/347
193. E1/E2 	120 / 0	22489,2441 ms 22043/354
194. E1/E2 	7 / 0	22029,6406 ms 21608/342
195. E1/E2 	26 / 0	22322,5645 ms 21894/346
196. E1/E2 	51 / 0	22281,507 ms 21854/344
197. E1/E2 	24 / 0	22236,7642 ms 21818/339
198. E1/E2 	58 / 0	22407,4331 ms 21977/345
199. E1/E2 	109 / 0	22304,1578 ms 21875/342
200. E1/E2 	16 / 0	22331,0152 ms 21907/342
201. E1/E2 	10 / 0	22223,1863 ms 21796/347
202. E1/E2 	36 / 0	22438,9164 ms 22003/353
203. E1/E2 	4 / 0	22290,2946 ms 21862/348
204. E1/E2 	6 / 0	22515,9612 ms 22078/353
205. E1/E2 	2 / 0	22641,6227 ms 22200/357
206. E1/E2 	4 / 0	22365,4674 ms 21942/342
207. E1/E2 	20 / 0	22359,3527 ms 21931/344
208. E1/E2 	32 / 0	22584,8308 ms 22153/346
209. E1/E2 	2 / 0	22700,2239 ms 22259/356
210. E1/E2 	22 / 0	22559,2928 ms 22118/355
211. E1/E2 	4 / 0	22418,9758 ms 21986/350
212. E1/E2 	2 / 0	22276,4962 ms 21848/348
213. E1/E2 	4 / 0	22337,7052 ms 21911/346
214. E1/E2 	16 / 0	22447,8389 ms 22011/353
215. E1/E2 	8 / 0	22315,5084 ms 21892/341
216. E1/E2 	28 / 0	22338,3736 ms 21911/344
217. E1/E2 	8 / 0	22244,6774 ms 21824/340
218. E1/E2 	6 / 0	22715,1286 ms 22278/353
219. E1/E2 	2 / 0	22316,7751 ms 21885/350
220. E1/E2 	4 / 0	22535,8056 ms 22098/355
221. E1/E2 	4 / 0	22782,2312 ms 22333/363
222. E1/E2 	4 / 0	22644,2916 ms 22202/357
223. E1/E2 	4 / 0	22589,8959 ms 22149/356
224. E1/E2 	6 / 0	22579,2077 ms 22141/354
225. E1/E2 	8 / 0	22631,9814 ms 22197/350
226. E1/E2 	6 / 0	22480,6879 ms 22051/347
227. E1/E2 	2 / 0	22648,0406 ms 22212/351
228. E1/E2 	70 / 0	22361,4313 ms 21924/349
229. E1/E2 	12 / 0	22574,9852 ms 22133/356
230. E1/E2 	22 / 0	22505,8088 ms 22065/354
231. E1/E2 	10 / 0	22376,5227 ms 21939/353
232. E1/E2 	48 / 0	22293,4878 ms 21861/347
233. E1/E2 	8 / 0	22247,3642 ms 21825/341
234. E1/E2 	2 / 0	22310,0216 ms 21889/340
235. E1/E2 	20 / 0	22427,1188 ms 21998/344
236. E1/E2 	12 / 0	22812,3412 ms 22370/357
237. E1/E2 	2 / 0	22693,9492 ms 22251/359
238. E1/E2 	3 / 0	22559,1741 ms 22121/354
239. E1/E2 	3 / 0	22571,5926 ms 22131/356
240. E1/E2 	4 / 0	22357,6633 ms 21924/351
241. E1/E2 	4 / 0	22375,4526 ms 21943/350
242. E1/E2 	14 / 0	22427,4929 ms 21998/345
243. E1/E2 	16 / 0	22357,9248 ms 21930/345
244. E1/E2 	8 / 0	22377,6581 ms 21952/342
245. E1/E2 	2 / 0	22529,9544 ms 22094/352
246. E1/E2 	4 / 0	22728,0738 ms 22288/355
247. E1/E2 	4 / 0	22315,845 ms 21886/347
248. E1/E2 	4 / 0	22497,8971 ms 22060/354
249. E1/E2 	4 / 0	22587,5961 ms 22155/350
250. E1/E2 	4 / 0	22447,5083 ms 22011/352
