233. E1/E2 	1429 / 3	10935,098 ms 10437/213
234. E1/E2 	1449 / 6	11173,5122 ms 10454/222
235. E1/E2 	1438 / 5	11057,9449 ms 10403/217
236. E1/E2 	1303 / 1	10559,4895 ms 10263/205
237. E1/E2 	1521 / 4	10810,6277 ms 10426/223
238. E1/E2 	1096 / 1	10654,8283 ms 10357/207
239. E1/E2 	1294 / 4	10743,0186 ms 10367/216
240. E1/E2 	1278 / 5	10906,0343 ms 10508/215
241. E1/E2 	1027 / 4	10989,7761 ms 10423/216
242. E1/E2 	1024 / 6	11083,7564 ms 10371/216
243. E1/E2 	1128 / 3	10789,7198 ms 10287/213
244. E1/E2 	1486 / 4	10907,9831 ms 10424/220
245. E1/E2 	1056 / 4	10753,9648 ms 10379/220
246. E1/E2 	1108 / 5	10752,9998 ms 10350/220
247. E1/E2 	1490 / 5	10709,1803 ms 10305/215
248. E1/E2 	1352 / 4	10894,4298 ms 10472/213
249. E1/E2 	1172 / 6	11146,5909 ms 10423/220
250. E1/E2 	1222 / 5	10904,8149 ms 10393/217
251. E1/E2 	1159 / 3	10871,0346 ms 10370/217
252. E1/E2 	1369 / 6	11087,0449 ms 10462/223
253. E1/E2 	1361 / 3	10818,1691 ms 10457/221
254. E1/E2 	1580 / 4	10785,4988 ms 10396/215
255. E1/E2 	1372 / 2	10703,8921 ms 10376/212
256. E1/E2 	1242 / 7	11053,9364 ms 10322/214
257. E1/E2 	1361 / 4	11117,2056 ms 10540/219
258. E1/E2 	920 / 0	10553,951 ms 10283/206
259. E1/E2 	1075 / 3	10877,4267 ms 10384/216
260. E1/E2 	1049 / 7	10977,4881 ms 10485/222
261. E1/E2 	1045 / 2	10727,3762 ms 10407/211
262. E1/E2 	1160 / 1	10719,4062 ms 10421/208
263. E1/E2 	1013 / 2	10790,5992 ms 10464/216
264. E1/E2 	940 / 2	10665,6531 ms 10342/215
265. E1/E2 	1172 / 1	10655,8473 ms 10307/208
266. E1/E2 	1194 / 6	11129,0638 ms 10401/210
267. E1/E2 	1245 / 2	10864,3145 ms 10446/206
268. E1/E2 	1132 / 3	10735,7923 ms 10341/211
269. E1/E2 	1079 / 4	10846,2286 ms 10478/215
270. E1/E2 	952 / 3	10751,262 ms 10401/213
271. E1/E2 	1016 / 0	10543,5424 ms 10276/202
272. E1/E2 	1108 / 2	10686,5128 ms 10356/218
273. E1/E2 	692 / 1	10685,1038 ms 10345/208
274. E1/E2 	1105 / 3	10804,4954 ms 10390/217
275. E1/E2 	1175 / 3	10913,0308 ms 10413/218
276. E1/E2 	972 / 1	10653,4025 ms 10307/206
277. E1/E2 	920 / 2	10630,378 ms 10307/212
278. E1/E2 	1055 / 3	10701,338 ms 10346/219
279. E1/E2 	1106 / 3	10712,3315 ms 10362/216
280. E1/E2 	1087 / 2	10729,8268 ms 10404/216
281. E1/E2 	1301 / 2	10848,4229 ms 10414/219
282. E1/E2 	985 / 1	10751,9886 ms 10396/218
283. E1/E2 	1060 / 3	10819,6091 ms 10319/212
284. E1/E2 	740 / 1	10663,4413 ms 10367/211
285. E1/E2 	1070 / 4	10760,5681 ms 10379/213
286. E1/E2 	859 / 0	10602,7873 ms 10336/203
287. E1/E2 	1142 / 1	10620,3431 ms 10324/206
288. E1/E2 	1150 / 4	10744,8067 ms 10367/212
289. E1/E2 	1122 / 1	10638,9829 ms 10293/207
290. E1/E2 	1238 / 1	10679,6167 ms 10328/212
291. E1/E2 	875 / 2	10754,3261 ms 10336/213
292. E1/E2 	750 / 2	10735,3778 ms 10365/210
293. E1/E2 	911 / 1	10691,248 ms 10394/211
294. E1/E2 	936 / 0	10633,2913 ms 10364/204
295. E1/E2 	752 / 1	10627,7158 ms 10338/204
296. E1/E2 	1073 / 0	10547,5405 ms 10279/203
297. E1/E2 	561 / 0	10564,4945 ms 10306/200
298. E1/E2 	742 / 1	10831,4959 ms 10489/211
299. E1/E2 	801 / 1	10669,3143 ms 10325/212
300. E1/E2 	725 / 3	10835,988 ms 10352/212
301. E1/E2 	761 / 2	10725,7002 ms 10310/209
302. E1/E2 	988 / 0	10529,8275 ms 10263/202
303. E1/E2 	906 / 2	10712,9721 ms 10393/211
304. E1/E2 	656 / 3	10809,0065 ms 10463/213
305. E1/E2 	975 / 3	10733,0436 ms 10388/216
306. E1/E2 	872 / 3	10818,265 ms 10374/213
307. E1/E2 	1019 / 3	10825,0005 ms 10335/211
308. E1/E2 	842 / 3	10823,0456 ms 10331/218
309. E1/E2 	644 / 3	10822,1905 ms 10334/214
310. E1/E2 	825 / 0	10530,8069 ms 10266/203
311. E1/E2 	950 / 3	10673,887 ms 10325/216
312. E1/E2 	865 / 2	10929,792 ms 10604/216
313. E1/E2 	714 / 1	10509,1062 ms 10220/205
314. E1/E2 	588 / 2	10625,1493 ms 10309/209
315. E1/E2 	695 / 2	10748,7516 ms 10334/210
316. E1/E2 	976 / 2	10851,1692 ms 10425/218
317. E1/E2 	746 / 1	10711,5978 ms 10367/208
318. E1/E2 	602 / 3	10867,2092 ms 10423/217
319. E1/E2 	589 / 2	10736,9517 ms 10417/215
320. E1/E2 	1017 / 2	10760,023 ms 10429/218
321. E1/E2 	798 / 0	10575,5297 ms 10312/201
322. E1/E2 	669 / 5	10824,5356 ms 10436/220
323. E1/E2 	520 / 5	11072,959 ms 10487/215
324. E1/E2 	584 / 0	10553,937 ms 10288/207
