AElement = 357
	AnalyzeTime = 24923,5428 ms 
346 - 38 - 13,0003 ms
347 - 42 - 31,3155 ms
348 - 47 - 35,1282 ms
349 - 49 - 34,1786 ms
350 - 52 - 16,0047 ms
351 - 50 - 36,1666 ms
352 - 42 - 32,6558 ms
353 - 51 - 14,1102 ms
354 - 51 - 31,2844 ms
355 - 52 - 38,2198 ms
356 - 57 - 27,4182 ms
357 - 51 - 16,817 ms
358 - 41 - 31,2494 ms
359 - 46 - 36,7295 ms
360 - 50 - 28,4671 ms
361 - 53 - 20,3037 ms
362 - 46 - 31,2507 ms
363 - 60 - 18,6138 ms
364 - 51 - 27,7378 ms
365 - 55 - 22,827 ms
366 - 64 - 34,5581 ms
367 - 54 - 27,9326 ms
368 - 42 - 19,6864 ms
369 - 58 - 31,2935 ms
370 - 44 - 34,2252 ms
371 - 53 - 18,9099 ms
372 - 50 - 31,2509 ms
373 - 48 - 34,9247 ms
374 - 44 - 15,9557 ms
375 - 45 - 40,1593 ms
376 - 40 - 25,7321 ms
377 - 32 - 15,5955 ms
378 - 52 - 28,5659 ms
379 - 66 - 22,6482 ms
380 - 43 - 31,2871 ms
381 - 52 - 30,9656 ms
382 - 44 - 21,9806 ms
383 - 41 - 31,2864 ms
384 - 49 - 15,623 ms
385 - 43 - 43,6102 ms
386 - 31 - 25,0392 ms
387 - 54 - 31,2518 ms
388 - 38 - 28,9635 ms
389 - 40 - 21,9915 ms
390 - 37 - 31,2859 ms
391 - 52 - 15,6264 ms
392 - 64 - 42,9961 ms
393 - 48 - 25,6971 ms
394 - 39 - 31,2882 ms
395 - 29 - 28,7973 ms
396 - 50 - 28,9034 ms
397 - 41 - 27,578 ms
398 - 34 - 16,686 ms
399 - 55 - 38,8935 ms
400 - 42 - 28,0751 ms
401 - 39 - 15,6373 ms
402 - 38 - 36,0773 ms
403 - 43 - 33,0047 ms
404 - 41 - 15,0048 ms
405 - 36 - 31,3115 ms
406 - 47 - 37,9238 ms
407 - 48 - 27,9318 ms
408 - 26 - 17,6565 ms
409 - 32 - 31,2506 ms
410 - 38 - 37,1019 ms
411 - 29 - 27,7722 ms
412 - 43 - 20,7788 ms
413 - 50 - 31,2521 ms
414 - 35 - 19,0056 ms
415 - 38 - 42,0891 ms
416 - 37 - 22,65 ms
417 - 48 - 34,8271 ms
418 - 49 - 27,842 ms
419 - 47 - 20,7923 ms
420 - 37 - 31,2513 ms
421 - 36 - 18,8052 ms
422 - 35 - 41,4533 ms
423 - 44 - 24,6791 ms
424 - 52 - 20,9467 ms
425 - 30 - 39,2863 ms
426 - 40 - 21,7898 ms
427 - 52 - 31,2378 ms
428 - 39 - 19,1407 ms
429 - 38 - 39,3033 ms
430 - 45 - 26,693 ms
431 - 38 - 20,2651 ms
432 - 23 - 37,7313 ms
433 - 44 - 24,8118 ms
434 - 30 - 15,6206 ms
435 - 39 - 27,3294 ms
436 - 53 - 24,8226 ms
437 - 38 - 31,2866 ms
438 - 37 - 15,6261 ms
439 - 42 - 41,241 ms
440 - 30 - 27,6314 ms
441 - 36 - 15,6434 ms
442 - 46 - 31,2932 ms
443 - 33 - 37,5817 ms
444 - 36 - 15,108 ms
445 - 35 - 31,7383 ms
446 - 41 - 38,7792 ms
447 - 46 - 27,8964 ms
448 - 46 - 16,6842 ms
449 - 28 - 31,2166 ms
450 - 42 - 37,0389 ms
451 - 41 - 15,2796 ms
452 - 41 - 31,2853 ms
453 - 44 - 38,5118 ms
454 - 44 - 27,8379 ms
455 - 44 - 17,8085 ms
456 - 42 - 31,2551 ms
457 - 34 - 35,0356 ms
458 - 38 - 27,7048 ms
459 - 37 - 21,6976 ms
460 - 37 - 34,7864 ms
461 - 45 - 27,0447 ms
462 - 41 - 18,6452 ms
463 - 38 - 31,2871 ms
464 - 37 - 34,242 ms
465 - 36 - 18,2443 ms
466 - 38 - 31,2977 ms
467 - 31 - 34,0415 ms
468 - 46 - 18,0031 ms
469 - 43 - 38,1873 ms
470 - 41 - 27,8163 ms
471 - 34 - 15,6599 ms
472 - 37 - 40,5882 ms
473 - 41 - 28,0415 ms
474 - 34 - 15,627 ms
475 - 45 - 42,4519 ms
476 - 40 - 24,8004 ms
477 - 52 - 31,2838 ms
478 - 49 - 15,6604 ms
479 - 46 - 41,0234 ms
480 - 32 - 27,4301 ms
481 - 38 - 15,6496 ms
482 - 36 - 40,6458 ms
483 - 41 - 26,8595 ms
484 - 43 - 15,6475 ms
485 - 45 - 31,2855 ms
486 - 31 - 38,8697 ms
487 - 26 - 27,9855 ms
488 - 21 - 17,6366 ms
489 - 25 - 39,7915 ms
490 - 29 - 27,7294 ms
491 - 25 - 15,6366 ms
492 - 30 - 31,251 ms
493 - 37 - 38,3315 ms
494 - 44 - 27,8804 ms
495 - 26 - 18,7295 ms
496 - 35 - 35,4981 ms
497 - 33 - 31,628 ms
498 - 39 - 15,8038 ms
499 - 33 - 30,709 ms
500 - 41 - 37,8532 ms
501 - 39 - 14,6327 ms
502 - 29 - 30,6713 ms
503 - 38 - 39,4767 ms
504 - 44 - 16,5434 ms
505 - 31 - 40,0753 ms
506 - 34 - 22,6865 ms
507 - 41 - 33,913 ms
508 - 37 - 27,8738 ms
509 - 45 - 28,2575 ms
510 - 41 - 29,1637 ms
511 - 35 - 16,8394 ms
512 - 33 - 39,9105 ms
513 - 45 - 28,7432 ms
514 - 34 - 27,811 ms
515 - 30 - 15,6435 ms
516 - 43 - 31,2901 ms
517 - 29 - 31,2456 ms
518 - 29 - 27,264 ms
519 - 32 - 17,6657 ms
520 - 24 - 31,2822 ms
521 - 26 - 35,3576 ms
522 - 15 - 27,8305 ms
523 - 33 - 21,6872 ms
524 - 44 - 34,257 ms
525 - 25 - 28,8745 ms
526 - 30 - 20,712 ms
527 - 27 - 31,2899 ms
528 - 25 - 32,3068 ms
529 - 28 - 27,63 ms
530 - 41 - 23,7234 ms
531 - 25 - 31,2155 ms
532 - 28 - 30,2123 ms
533 - 23 - 21,4246 ms
534 - 18 - 31,2508 ms
535 - 23 - 15,6659 ms
536 - 32 - 43,016 ms
537 - 24 - 25,6674 ms
538 - 26 - 15,6449 ms
539 - 36 - 42,5671 ms
540 - 48 - 24,8454 ms
541 - 31 - 15,6251 ms
542 - 25 - 15,6669 ms
543 - 21 - 40,0574 ms
544 - 27 - 13,0662 ms
545 - 36 - 31,2525 ms
546 - 34 - 41,2199 ms
547 - 32 - 26,8149 ms
548 - 32 - 15,6456 ms
549 - 31 - 31,2525 ms
550 - 29 - 39,2149 ms
551 - 35 - 27,5872 ms
552 - 29 - 17,7663 ms
553 - 44 - 38,7739 ms
554 - 40 - 27,2042 ms
555 - 22 - 15,6252 ms
556 - 29 - 31,2946 ms
557 - 38 - 38,5536 ms
558 - 36 - 28,2116 ms
559 - 34 - 18,7228 ms
560 - 32 - 38,0286 ms
561 - 35 - 27,4212 ms
562 - 28 - 15,6263 ms
563 - 30 - 31,2908 ms
564 - 19 - 37,0418 ms
565 - 34 - 15,0704 ms
566 - 32 - 31,2847 ms
567 - 18 - 39,232 ms
568 - 27 - 12,9977 ms
569 - 25 - 27,3288 ms
570 - 21 - 22,6958 ms
571 - 25 - 33,2401 ms
572 - 37 - 28,413 ms
573 - 25 - 21,2813 ms
574 - 29 - 34,1722 ms
575 - 42 - 28,3154 ms
576 - 29 - 19,7392 ms
577 - 30 - 31,3167 ms
578 - 29 - 31,9377 ms
579 - 37 - 27,9 ms
580 - 31 - 22,7666 ms
581 - 16 - 35,2879 ms
582 - 25 - 29,0354 ms
583 - 25 - 19,6487 ms
584 - 19 - 31,2726 ms
585 - 24 - 34,2981 ms
586 - 27 - 28,5131 ms
587 - 22 - 21,5859 ms
588 - 11 - 31,2853 ms
589 - 23 - 31,9006 ms
590 - 19 - 20,0779 ms
591 - 32 - 31,2709 ms
592 - 23 - 32,0272 ms
593 - 29 - 28,3649 ms
594 - 24 - 24,261 ms
595 - 27 - 31,2982 ms
596 - 32 - 20,1336 ms
597 - 35 - 38,0665 ms
598 - 24 - 25,6443 ms
599 - 22 - 15,6612 ms
600 - 35 - 35,0836 ms
601 - 22 - 36,0593 ms
602 - 28 - 14,0003 ms
603 - 15 - 35,6184 ms
604 - 25 - 34,7712 ms
605 - 16 - 13,1284 ms
606 - 21 - 31,2843 ms
607 - 20 - 37,9459 ms
608 - 24 - 27,9998 ms
609 - 24 - 16,7293 ms
610 - 12 - 31,2521 ms
611 - 21 - 36,5051 ms
612 - 17 - 28,313 ms
613 - 24 - 21,5154 ms
614 - 28 - 31,2953 ms
615 - 28 - 33,2172 ms
616 - 33 - 18,815 ms
617 - 29 - 31,2776 ms
618 - 31 - 35,7622 ms
619 - 28 - 28,9 ms
620 - 31 - 19,699 ms
621 - 26 - 31,255 ms
622 - 20 - 32,2999 ms
623 - 32 - 19,889 ms
624 - 25 - 31,2506 ms
625 - 40 - 20,7308 ms
626 - 24 - 27,9048 ms
627 - 25 - 21,8456 ms
628 - 18 - 31,2314 ms
629 - 23 - 29,8739 ms
630 - 18 - 22,4905 ms
631 - 38 - 31,2517 ms
632 - 16 - 20,4604 ms
633 - 34 - 40,165 ms
634 - 28 - 23,6895 ms
635 - 27 - 31,2513 ms
636 - 27 - 19,3978 ms
637 - 18 - 38,8424 ms
638 - 17 - 12,0048 ms
639 - 23 - 20,5711 ms
640 - 22 - 35,4961 ms
641 - 26 - 25,5856 ms
642 - 24 - 15,6658 ms
643 - 24 - 42,6881 ms
644 - 20 - 25,5095 ms
645 - 19 - 15,6734 ms
646 - 24 - 31,2517 ms
647 - 19 - 36,8406 ms
648 - 22 - 31,6126 ms
649 - 23 - 17,9695 ms
650 - 22 - 31,2845 ms
651 - 26 - 35,8913 ms
652 - 13 - 16,0058 ms
653 - 27 - 31,2678 ms
654 - 19 - 37,2322 ms
655 - 17 - 13,9997 ms
656 - 26 - 41,7526 ms
657 - 19 - 22,6485 ms
658 - 21 - 32,0048 ms
659 - 19 - 27,7733 ms
660 - 27 - 22,7013 ms
661 - 23 - 31,2926 ms
662 - 29 - 30,951 ms
663 - 21 - 21,5817 ms
664 - 34 - 31,3127 ms
665 - 27 - 15,6279 ms
666 - 29 - 27,9784 ms
667 - 30 - 24,7566 ms
668 - 21 - 31,2511 ms
669 - 28 - 29,1897 ms
670 - 11 - 21,8243 ms
671 - 13 - 31,2679 ms
672 - 18 - 15,6718 ms
673 - 18 - 27,6632 ms
674 - 21 - 25,6243 ms
675 - 20 - 15,6454 ms
676 - 18 - 43,6833 ms
677 - 36 - 23,8209 ms
678 - 12 - 31,2505 ms
679 - 16 - 15,6626 ms
680 - 38 - 42,2962 ms
681 - 22 - 26,6531 ms
682 - 27 - 15,6274 ms
683 - 21 - 42,3016 ms
684 - 16 - 25,1488 ms
685 - 22 - 15,6631 ms
686 - 16 - 31,2486 ms
687 - 31 - 38,7765 ms
688 - 28 - 14,1276 ms
689 - 14 - 31,286 ms
690 - 18 - 38,3521 ms
691 - 19 - 12,9986 ms
692 - 20 - 41,6325 ms
693 - 20 - 22,6567 ms
694 - 23 - 32,6275 ms
695 - 23 - 27,8828 ms
696 - 31 - 21,7403 ms
697 - 28 - 35,4045 ms
698 - 23 - 27,7531 ms
699 - 23 - 20,81 ms
700 - 20 - 31,3185 ms
701 - 22 - 31,7291 ms
702 - 14 - 27,8526 ms
703 - 23 - 24,6933 ms
704 - 27 - 15,6251 ms
705 - 22 - 28,6924 ms
706 - 23 - 23,8401 ms
707 - 19 - 31,2715 ms
708 - 22 - 15,6601 ms
709 - 36 - 41,8786 ms
710 - 13 - 26,6489 ms
711 - 30 - 15,6672 ms
712 - 22 - 37,1855 ms
713 - 30 - 34,4809 ms
714 - 21 - 13,0059 ms
715 - 23 - 31,3142 ms
716 - 23 - 40,0177 ms
717 - 24 - 27,6953 ms
718 - 36 - 15,6272 ms
719 - 16 - 41,629 ms
720 - 20 - 27,2301 ms
721 - 22 - 30,1715 ms
722 - 16 - 20,135 ms
723 - 20 - 36,4725 ms
724 - 34 - 28,2881 ms
725 - 17 - 18,0378 ms
726 - 29 - 36,4088 ms
727 - 19 - 31,0941 ms
728 - 20 - 28,1522 ms
729 - 25 - 19,0784 ms
730 - 28 - 31,2824 ms
731 - 25 - 31,2179 ms
732 - 25 - 15,6588 ms
733 - 23 - 31,2527 ms
734 - 25 - 39,9663 ms
735 - 26 - 17,8538 ms
736 - 30 - 31,3063 ms
737 - 31 - 32,0324 ms
738 - 12 - 27,7362 ms
739 - 18 - 21,7811 ms
740 - 11 - 31,2902 ms
741 - 16 - 20,3092 ms
742 - 9 - 40,3584 ms
743 - 17 - 23,7904 ms
744 - 26 - 31,2095 ms
745 - 14 - 29,2143 ms
746 - 10 - 23,0858 ms
747 - 20 - 31,3245 ms
748 - 28 - 18,7854 ms
749 - 18 - 39,8697 ms
750 - 32 - 25,6926 ms
751 - 17 - 15,6252 ms
752 - 11 - 41,9038 ms
753 - 9 - 25,9358 ms
754 - 5 - 15,6596 ms
755 - 23 - 31,2184 ms
756 - 18 - 36,4543 ms
757 - 21 - 32,0238 ms
758 - 13 - 18,0834 ms
759 - 36 - 31,2515 ms
760 - 21 - 35,7231 ms
761 - 17 - 28,0231 ms
762 - 19 - 20,6862 ms
763 - 23 - 37,1198 ms
764 - 28 - 28,0344 ms
765 - 17 - 17,6476 ms
766 - 19 - 31,2881 ms
767 - 27 - 35,5001 ms
768 - 16 - 27,0293 ms
769 - 15 - 21,685 ms
770 - 7 - 31,2564 ms
771 - 10 - 29,6425 ms
772 - 16 - 21,9888 ms
773 - 23 - 31,2516 ms
774 - 22 - 15,6593 ms
775 - 23 - 43,0536 ms
776 - 27 - 25,6678 ms
777 - 17 - 15,6652 ms
778 - 27 - 36,3809 ms
779 - 13 - 35,3196 ms
780 - 18 - 13,0002 ms
781 - 19 - 31,2749 ms
782 - 22 - 39,0119 ms
783 - 17 - 27,7274 ms
784 - 20 - 16,6924 ms
785 - 8 - 31,2488 ms
786 - 15 - 36,0049 ms
787 - 13 - 27,9368 ms
788 - 27 - 21,6981 ms
789 - 15 - 31,2492 ms
790 - 26 - 19,0424 ms
791 - 29 - 40,0642 ms
792 - 21 - 25,8102 ms
793 - 20 - 20,4846 ms
794 - 13 - 37,443 ms
795 - 17 - 24,6914 ms
796 - 14 - 31,2894 ms
797 - 20 - 28,8501 ms
798 - 25 - 23,4047 ms
799 - 18 - 31,2506 ms
800 - 19 - 15,6669 ms
801 - 18 - 42,9383 ms
802 - 19 - 27,0539 ms
803 - 24 - 15,6438 ms
804 - 13 - 31,2861 ms
805 - 26 - 38,3822 ms
806 - 18 - 15,0047 ms
807 - 25 - 31,3018 ms
808 - 28 - 37,5566 ms
809 - 17 - 26,9776 ms
810 - 16 - 17,7317 ms
811 - 27 - 31,2476 ms
812 - 26 - 18,9168 ms
813 - 19 - 27,568 ms
814 - 22 - 22,7294 ms
815 - 26 - 31,2174 ms
816 - 13 - 31,4003 ms
817 - 18 - 20,845 ms
818 - 24 - 31,2518 ms
819 - 18 - 31,9003 ms
820 - 19 - 28,363 ms
821 - 20 - 24,5106 ms
822 - 12 - 15,6278 ms
823 - 19 - 28,9351 ms
824 - 17 - 22,8127 ms
825 - 25 - 31,2897 ms
826 - 20 - 15,6221 ms
827 - 34 - 36,3833 ms
828 - 22 - 34,2078 ms
829 - 17 - 15,1561 ms
830 - 18 - 41,5347 ms
831 - 14 - 24,6249 ms
832 - 12 - 31,3321 ms
833 - 13 - 15,6122 ms
834 - 34 - 42,0531 ms
835 - 14 - 27,634 ms
836 - 18 - 15,6426 ms
837 - 27 - 36,5759 ms
838 - 25 - 33,693 ms
839 - 26 - 14,1301 ms
840 - 20 - 31,2876 ms
841 - 7 - 38,8733 ms
842 - 12 - 27,5895 ms
843 - 25 - 17,1525 ms
844 - 32 - 35,9856 ms
845 - 13 - 30,5724 ms
846 - 12 - 15,9989 ms
847 - 13 - 31,3087 ms
848 - 14 - 35,9168 ms
849 - 11 - 28,0063 ms
850 - 16 - 19,6606 ms
851 - 8 - 35,168 ms
852 - 8 - 28,2094 ms
853 - 4 - 18,8922 ms
854 - 24 - 31,2585 ms
855 - 12 - 32,8537 ms
856 - 19 - 28,7946 ms
857 - 18 - 22,8229 ms
858 - 9 - 31,2436 ms
859 - 22 - 30,4358 ms
860 - 23 - 26,8746 ms
861 - 30 - 27,0268 ms
862 - 18 - 15,6255 ms
863 - 14 - 41,0489 ms
864 - 20 - 25,6823 ms
865 - 16 - 15,6344 ms
866 - 18 - 39,7607 ms
867 - 19 - 31,5459 ms
868 - 12 - 13,0526 ms
869 - 13 - 31,3155 ms
870 - 20 - 34,4789 ms
871 - 26 - 31,6932 ms
872 - 16 - 18,9126 ms
873 - 20 - 36,6356 ms
874 - 12 - 33,5015 ms
875 - 18 - 13,165 ms
