88. E1/E2 	332 / 3	6630,3911 ms 2361/3999	P: 0,1112-0,1161-0,3536
89. E1/E2 	361 / 0	6362,5111 ms 2378/3837	P: 0,1112-0,1161-0,3536
90. E1/E2 	372 / 0	6437,0314 ms 2357/3925	P: 0,1112-0,1161-0,3536
91. E1/E2 	380 / 1	6708,925 ms 2391/4107	P: 0,1112-0,1161-0,3536
92. E1/E2 	354 / 0	6611,5266 ms 2354/4103	P: 0,1112-0,1161-0,3536
93. E1/E2 	341 / 2	6664,3225 ms 2366/4056	P: 0,1112-0,1161-0,3536
94. E1/E2 	363 / 0	6632,8943 ms 2378/4096	P: 0,1112-0,1161-0,3536
95. E1/E2 	357 / 0	6583,2274 ms 2366/4062	P: 0,1112-0,1161-0,3536
96. E1/E2 	315 / 1	6659,6297 ms 2382/4105	P: 0,1112-0,1161-0,3536
97. E1/E2 	321 / 1	6680,8815 ms 2394/4103	P: 0,1112-0,1161-0,3536
98. E1/E2 	331 / 0	6500,8872 ms 2369/3985	P: 0,1112-0,1161-0,3536
99. E1/E2 	316 / 1	6608,94 ms 2355/4070	P: 0,1112-0,1161-0,3536
100. E1/E2 	253 / 0	6500,7355 ms 2363/4025	P: 0,1112-0,1161-0,3536
101. E1/E2 	313 / 0	6523,0383 ms 2347/4040	P: 0,1112-0,1161-0,3536
102. E1/E2 	311 / 0	6655,9536 ms 2385/4132	P: 0,1112-0,1161-0,3536
103. E1/E2 	274 / 0	6443,2086 ms 2364/3961	P: 0,1112-0,1161-0,3536
104. E1/E2 	316 / 0	6539,2275 ms 2363/4040	P: 0,1112-0,1161-0,3536
105. E1/E2 	312 / 0	6588,8777 ms 2367/4084	P: 0,1112-0,1161-0,3536
106. E1/E2 	278 / 1	6602,5938 ms 2375/4061	P: 0,1112-0,1161-0,3536
107. E1/E2 	276 / 0	6323,0738 ms 2391/3819	P: 0,1112-0,1161-0,3536
108. E1/E2 	267 / 0	6415,1091 ms 2381/3922	P: 0,1112-0,1161-0,3536
109. E1/E2 	256 / 0	6362,4018 ms 2325/3926	P: 0,1112-0,1161-0,3536
110. E1/E2 	270 / 0	6445,845 ms 2348/3984	P: 0,1112-0,1161-0,3536
111. E1/E2 	263 / 0	6300,6609 ms 2336/3849	P: 0,1112-0,1161-0,3536
112. E1/E2 	272 / 0	6347,4811 ms 2325/3906	P: 0,1112-0,1161-0,3536
113. E1/E2 	265 / 0	6348,9232 ms 2331/3902	P: 0,1112-0,1161-0,3536
114. E1/E2 	273 / 0	6425,7488 ms 2342/3965	P: 0,1112-0,1161-0,3536
115. E1/E2 	242 / 0	6434,5017 ms 2323/4005	P: 0,1112-0,1161-0,3536
116. E1/E2 	264 / 0	6459,2331 ms 2349/3991	P: 0,1112-0,1161-0,3536
