104. E1/E2 	169 / 0	3243,5261 ms 3216/18	P: 0,1112-0,1122-0,1315
105. E1/E2 	137 / 0	3327,1974 ms 3299/18	P: 0,1112-0,1122-0,1315
106. E1/E2 	152 / 0	3223,8153 ms 3193/21	P: 0,1112-0,1122-0,1315
107. E1/E2 	161 / 0	3251,6344 ms 3225/17	P: 0,1112-0,1122-0,1315
108. E1/E2 	166 / 0	3226,6124 ms 3201/16	P: 0,1112-0,1122-0,1315
109. E1/E2 	129 / 0	3322,6544 ms 3298/16	P: 0,1112-0,1122-0,1315
110. E1/E2 	110 / 0	3280,0409 ms 3256/15	P: 0,1112-0,1122-0,1315
111. E1/E2 	145 / 0	3318,6949 ms 3294/15	P: 0,1112-0,1122-0,1315
112. E1/E2 	79 / 0	3195,5644 ms 3171/15	P: 0,1112-0,1122-0,1315
113. E1/E2 	84 / 0	3206,0412 ms 3182/15	P: 0,1112-0,1122-0,1315
114. E1/E2 	102 / 0	3254,4041 ms 3230/15	P: 0,1112-0,1122-0,1315
115. E1/E2 	106 / 0	3266,2948 ms 3241/16	P: 0,1112-0,1122-0,1315
116. E1/E2 	70 / 0	3289,6124 ms 3265/15	P: 0,1112-0,1122-0,1315
117. E1/E2 	68 / 0	3295,5073 ms 3271/15	P: 0,1112-0,1122-0,1315
118. E1/E2 	95 / 0	3278,0596 ms 3254/15	P: 0,1112-0,1122-0,1315
119. E1/E2 	102 / 0	3140,7478 ms 3115/16	P: 0,1112-0,1122-0,1315
120. E1/E2 	61 / 0	3135,4338 ms 3110/16	P: 0,1112-0,1122-0,1315
121. E1/E2 	76 / 0	3206,7386 ms 3182/16	P: 0,1112-0,1122-0,1315
122. E1/E2 	39 / 0	3345,3667 ms 3321/15	P: 0,1112-0,1122-0,1315
123. E1/E2 	82 / 0	3267,4653 ms 3244/15	P: 0,1112-0,1122-0,1315
124. E1/E2 	34 / 0	3516,7868 ms 3492/16	P: 0,1112-0,1122-0,1315
125. E1/E2 	105 / 0	3234,0558 ms 3207/17	P: 0,1112-0,1122-0,1315
126. E1/E2 	93 / 0	3242,7925 ms 3207/26	P: 0,1112-0,1122-0,1315
127. E1/E2 	38 / 0	3279,2511 ms 3253/18	P: 0,1112-0,1122-0,1315
128. E1/E2 	75 / 0	3298,75 ms 3271/19	P: 0,1112-0,1122-0,1315
129. E1/E2 	53 / 0	3434,4204 ms 3406/19	P: 0,1112-0,1122-0,1315
130. E1/E2 	56 / 0	3277,3588 ms 3251/18	P: 0,1112-0,1122-0,1315
131. E1/E2 	82 / 0	3298,1333 ms 3271/18	P: 0,1112-0,1122-0,1315
132. E1/E2 	63 / 1	3340,3422 ms 3269/17	P: 0,1112-0,1122-0,1315
133. E1/E2 	59 / 0	3320,957 ms 3293/19	P: 0,1112-0,1122-0,1315
134. E1/E2 	52 / 0	3290,8705 ms 3264/18	P: 0,1112-0,1122-0,1315
135. E1/E2 	47 / 0	3355,214 ms 3329/18	P: 0,1112-0,1122-0,1315
136. E1/E2 	76 / 0	3234,2086 ms 3207/18	P: 0,1112-0,1122-0,1315
137. E1/E2 	83 / 0	3304,0889 ms 3276/18	P: 0,1112-0,1122-0,1315
138. E1/E2 	62 / 0	3205,2676 ms 3179/18	P: 0,1112-0,1122-0,1315
139. E1/E2 	89 / 0	3239,199 ms 3212/18	P: 0,1112-0,1122-0,1315
140. E1/E2 	85 / 0	3297,7355 ms 3273/16	P: 0,1112-0,1122-0,1315
141. E1/E2 	44 / 0	3225,0731 ms 3202/15	P: 0,1112-0,1122-0,1315
142. E1/E2 	41 / 0	3173,5421 ms 3149/16	P: 0,1112-0,1122-0,1315
143. E1/E2 	53 / 0	3322,5637 ms 3297/16	P: 0,1112-0,1122-0,1315
144. E1/E2 	86 / 0	3251,4306 ms 3224/18	P: 0,1112-0,1122-0,1315
145. E1/E2 	62 / 0	3215,4676 ms 3189/18	P: 0,1112-0,1122-0,1315
146. E1/E2 	36 / 0	3244,5377 ms 3218/17	P: 0,1112-0,1122-0,1315
147. E1/E2 	73 / 0	3234,2368 ms 3207/18	P: 0,1112-0,1122-0,1315
148. E1/E2 	54 / 0	3279,5659 ms 3253/18	P: 0,1112-0,1122-0,1315
149. E1/E2 	60 / 0	3244,3001 ms 3217/18	P: 0,1112-0,1122-0,1315
150. E1/E2 	103 / 0	3181,9448 ms 3154/18	P: 0,1112-0,1122-0,1315
151. E1/E2 	63 / 0	3285,1188 ms 3257/19	P: 0,1112-0,1122-0,1315
152. E1/E2 	72 / 0	3228,0646 ms 3202/17	P: 0,1112-0,1122-0,1315
153. E1/E2 	46 / 0	3296,771 ms 3270/18	P: 0,1112-0,1122-0,1315
154. E1/E2 	80 / 0	3237,444 ms 3210/18	P: 0,1112-0,1122-0,1315
155. E1/E2 	66 / 0	3338,4263 ms 3312/18	P: 0,1112-0,1122-0,1315
156. E1/E2 	49 / 0	3206,6479 ms 3180/18	P: 0,1112-0,1122-0,1315
157. E1/E2 	33 / 0	3282,775 ms 3256/18	P: 0,1112-0,1122-0,1315
158. E1/E2 	66 / 0	3305,9242 ms 3279/18	P: 0,1112-0,1122-0,1315
159. E1/E2 	43 / 0	3278,9567 ms 3252/18	P: 0,1112-0,1122-0,1315
160. E1/E2 	68 / 0	3291,1545 ms 3264/17	P: 0,1112-0,1122-0,1315
161. E1/E2 	48 / 0	3251,5011 ms 3225/18	P: 0,1112-0,1122-0,1315
162. E1/E2 	30 / 0	3205,1048 ms 3179/17	P: 0,1112-0,1122-0,1315
163. E1/E2 	47 / 0	3198,2551 ms 3172/17	P: 0,1112-0,1122-0,1315
164. E1/E2 	81 / 0	3205,3167 ms 3178/17	P: 0,1112-0,1122-0,1315
165. E1/E2 	63 / 0	3262,8328 ms 3235/18	P: 0,1112-0,1122-0,1315
166. E1/E2 	65 / 0	3127,3706 ms 3101/17	P: 0,1112-0,1122-0,1315
167. E1/E2 	70 / 0	3332,9952 ms 3307/17	P: 0,1112-0,1122-0,1315
168. E1/E2 	77 / 0	3302,2072 ms 3276/18	P: 0,1112-0,1122-0,1315
169. E1/E2 	69 / 0	3199,3018 ms 3173/17	P: 0,1112-0,1122-0,1315
170. E1/E2 	45 / 0	3186,6945 ms 3162/16	P: 0,1112-0,1122-0,1315
171. E1/E2 	66 / 0	3326,2284 ms 3302/16	P: 0,1112-0,1122-0,1315
172. E1/E2 	42 / 0	3305,3046 ms 3282/15	P: 0,1112-0,1122-0,1315
173. E1/E2 	53 / 0	3235,2434 ms 3211/15	P: 0,1112-0,1122-0,1315
174. E1/E2 	49 / 0	3301,426 ms 3277/16	P: 0,1112-0,1122-0,1315
175. E1/E2 	39 / 0	3278,9862 ms 3255/15	P: 0,1112-0,1122-0,1315
176. E1/E2 	31 / 0	3300,4226 ms 3276/15	P: 0,1112-0,1122-0,1315
177. E1/E2 	8 / 0	3278,4018 ms 3255/15	P: 0,1112-0,1122-0,1315
178. E1/E2 	31 / 0	3317,2803 ms 3292/17	P: 0,1112-0,1122-0,1315
179. E1/E2 	12 / 0	3201,7294 ms 3174/19	P: 0,1112-0,1122-0,1315
180. E1/E2 	39 / 0	3108,8611 ms 3080/19	P: 0,1112-0,1122-0,1315
181. E1/E2 	15 / 0	3152,6026 ms 3124/20	P: 0,1112-0,1122-0,1315
182. E1/E2 	71 / 0	3265,2678 ms 3238/18	P: 0,1112-0,1122-0,1315
183. E1/E2 	58 / 0	3254,2981 ms 3227/18	P: 0,1112-0,1122-0,1315
184. E1/E2 	4 / 0	3270,737 ms 3244/19	P: 0,1112-0,1122-0,1315
185. E1/E2 	28 / 0	3166,253 ms 3137/17	P: 0,1112-0,1122-0,1315
186. E1/E2 	47 / 0	3250,2609 ms 3224/18	P: 0,1112-0,1122-0,1315
187. E1/E2 	38 / 0	3330,7817 ms 3304/18	P: 0,1112-0,1122-0,1315
188. E1/E2 	42 / 0	3275,7635 ms 3249/18	P: 0,1112-0,1122-0,1315
189. E1/E2 	37 / 0	3266,1359 ms 3239/18	P: 0,1112-0,1122-0,1315
190. E1/E2 	43 / 0	3224,7769 ms 3198/18	P: 0,1112-0,1122-0,1315
191. E1/E2 	62 / 0	3177,2986 ms 3151/17	P: 0,1112-0,1122-0,1315
192. E1/E2 	59 / 0	3341,4936 ms 3315/18	P: 0,1112-0,1122-0,1315
193. E1/E2 	25 / 0	3249,4672 ms 3224/17	P: 0,1112-0,1122-0,1315
194. E1/E2 	66 / 0	3082,57 ms 3054/20	P: 0,1112-0,1122-0,1315
195. E1/E2 	4 / 0	3256,0159 ms 3230/18	P: 0,1112-0,1122-0,1315
196. E1/E2 	8 / 0	3277,9655 ms 3252/18	P: 0,1112-0,1122-0,1315
197. E1/E2 	18 / 0	3249,1236 ms 3223/18	P: 0,1112-0,1122-0,1315
198. E1/E2 	19 / 0	3216,8371 ms 3191/18	P: 0,1112-0,1122-0,1315
199. E1/E2 	0 / 0	3218,9748 ms 3194/17	P: 0,1112-0,1122-0,1315
	FullTime = 3817832,5643 ms 
