309 - 69 - 6481,6641 ms
310 - 57 - 6464,0687 ms
311 - 61 - 6465,1706 ms
312 - 50 - 6462,6842 ms
313 - 63 - 6473,0848 ms
314 - 45 - 6484,3761 ms
315 - 34 - 6443,8858 ms
316 - 36 - 6478,3524 ms
317 - 72 - 6441,3435 ms
318 - 50 - 6466,8253 ms
319 - 72 - 6463,8225 ms
320 - 52 - 6474,6153 ms
321 - 29 - 6473,2564 ms
322 - 45 - 6464,9515 ms
323 - 42 - 6502,426 ms
324 - 35 - 6484,7863 ms
325 - 30 - 6469,1974 ms
326 - 54 - 6456,3771 ms
327 - 46 - 6445,4346 ms
328 - 74 - 6496,7337 ms
329 - 58 - 6452,6523 ms
330 - 53 - 6445,6438 ms
331 - 65 - 6497,4046 ms
332 - 61 - 6430,2951 ms
333 - 46 - 6476,5362 ms
334 - 44 - 6455,7966 ms
335 - 71 - 6511,9748 ms
336 - 42 - 6476,0786 ms
337 - 22 - 6453,7494 ms
338 - 70 - 6460,5509 ms
339 - 48 - 6448,8964 ms
340 - 41 - 6485,2361 ms
341 - 29 - 6460,6589 ms
342 - 71 - 6487,9333 ms
343 - 78 - 6454,8378 ms
344 - 77 - 6479,5839 ms
345 - 56 - 6477,4122 ms
346 - 66 - 6468,5816 ms
347 - 60 - 6459,9631 ms
348 - 65 - 6491,0631 ms
349 - 46 - 6453,1189 ms
350 - 58 - 6458,7537 ms
351 - 36 - 6440,2204 ms
352 - 32 - 6459,637 ms
353 - 48 - 6445,1846 ms
354 - 53 - 6449,5773 ms
355 - 40 - 6494,453 ms
356 - 34 - 6466,0667 ms
357 - 39 - 6486,1261 ms
358 - 32 - 6470,628 ms
359 - 56 - 6468,3819 ms
360 - 28 - 6486,0675 ms
361 - 25 - 6489,0475 ms
362 - 20 - 6448,3056 ms
363 - 35 - 6515,758 ms
364 - 48 - 6492,3652 ms
365 - 41 - 6510,3057 ms
366 - 38 - 6484,9855 ms
367 - 34 - 6511,7325 ms
368 - 25 - 6478,8975 ms
369 - 58 - 6468,4607 ms
