94. E1/E2 	9719 / 889	146429 ms 125912/493 35-0-155	E: 2089 / 793
95. E1/E2 	9832 / 882	146987 ms 124708/450 35-0-154	E: 1819 / 916
96. E1/E2 	9624 / 877	146683 ms 124996/478 34-0-153	E: 1556 / 766
97. E1/E2 	9757 / 860	148305 ms 127836/501 35-0-151	E: 1767 / 819
98. E1/E2 	9686 / 840	146713 ms 125274/441 35-0-146	E: 1485 / 676
99. E1/E2 	9753 / 882	150572 ms 127168/517 35-0-154	E: 1804 / 934
100. E1/E2 	9474 / 891	148457 ms 126642/493 34-0-156	E: 2874 / 1209
101. E1/E2 	9647 / 881	151904 ms 130578/576 36-0-160	E: 1936 / 974
102. E1/E2 	9492 / 876	149655 ms 127105/483 34-0-154	E: 2330 / 918
103. E1/E2 	9415 / 855	146602 ms 123808/431 33-0-147	E: 1952 / 926
104. E1/E2 	9436 / 890	143119 ms 123212/389 33-0-154	E: 2130 / 1033
105. E1/E2 	9365 / 857	144062 ms 121400/385 32-0-146	E: 1968 / 935
106. E1/E2 	9452 / 875	142950 ms 122407/390 33-0-149	E: 2498 / 910
107. E1/E2 	9360 / 895	144305 ms 122755/388 33-0-153	E: 1562 / 749
108. E1/E2 	9338 / 842	143920 ms 122561/389 33-0-143	E: 1799 / 886
109. E1/E2 	9456 / 853	142883 ms 122807/395 33-0-145	E: 1625 / 786
110. E1/E2 	9406 / 852	143690 ms 121328/384 32-0-145	E: 2681 / 1103
111. E1/E2 	9303 / 846	141746 ms 121291/384 32-0-142	E: 1749 / 899
112. E1/E2 	9419 / 885	142462 ms 121087/381 33-0-151	E: 1455 / 688
113. E1/E2 	9815 / 1081	141982 ms 120793/382 34-0-186	E: 1986 / 966
114. E1/E2 	9598 / 966	140049 ms 120472/376 33-0-166	E: 1458 / 775
115. E1/E2 	9737 / 1000	143131 ms 120787/381 34-0-171	E: 1572 / 772
116. E1/E2 	9620 / 1008	140481 ms 120419/377 33-0-170	E: 1544 / 794
117. E1/E2 	9471 / 927	145648 ms 120981/382 33-0-159	E: 1571 / 710
118. E1/E2 	9341 / 927	141532 ms 120456/378 32-0-155	E: 2375 / 1141
119. E1/E2 	9382 / 913	141697 ms 121981/384 33-0-153	E: 1667 / 788
120. E1/E2 	9313 / 929	143539 ms 121198/382 33-0-155	E: 1376 / 681
121. E1/E2 	9238 / 913	140850 ms 121081/381 34-0-152	E: 2193 / 948
122. E1/E2 	9258 / 862	142557 ms 120140/378 34-0-144	E: 1438 / 746
123. E1/E2 	9285 / 866	140530 ms 120888/380 34-0-144	E: 1679 / 861
124. E1/E2 	9099 / 850	143038 ms 121302/384 34-0-143	E: 2159 / 1144
125. E1/E2 	9132 / 827	141270 ms 120402/382 34-0-140	E: 1416 / 680
126. E1/E2 	9143 / 827	141545 ms 120943/379 34-0-141	E: 1611 / 779
127. E1/E2 	9261 / 819	143814 ms 121396/381 34-0-138	E: 1606 / 850
128. E1/E2 	9182 / 825	140347 ms 120872/379 34-0-140	E: 1795 / 852
129. E1/E2 	9129 / 807	142277 ms 119938/375 32-0-137	E: 2294 / 1197
130. E1/E2 	9172 / 802	140495 ms 120683/388 32-0-138	E: 1444 / 720
131. E1/E2 	8947 / 794	142381 ms 120885/377 31-0-137	E: 1761 / 880
132. E1/E2 	8998 / 811	141377 ms 120839/379 31-0-138	E: 1820 / 913
133. E1/E2 	8961 / 821	142055 ms 121305/381 31-0-139	E: 1495 / 722
134. E1/E2 	8984 / 776	142062 ms 121006/371 31-0-132	E: 1552 / 715
135. E1/E2 	8940 / 783	140738 ms 120632/370 31-0-134	E: 1400 / 701
136. E1/E2 	8884 / 793	142017 ms 120279/370 31-0-136	E: 1678 / 738
137. E1/E2 	8870 / 779	139671 ms 120185/369 31-0-133	E: 1989 / 1065
138. E1/E2 	8763 / 753	142678 ms 120812/371 30-0-129	E: 1324 / 659
139. E1/E2 	8613 / 755	142184 ms 121229/398 31-0-130	E: 2020 / 1082
140. E1/E2 	8620 / 742	141493 ms 121322/391 31-0-128	E: 1864 / 1005
141. E1/E2 	8681 / 758	141445 ms 119896/368 31-0-128	E: 2112 / 1170
142. E1/E2 	8654 / 716	139227 ms 119599/369 31-0-122	E: 1747 / 978
143. E1/E2 	8647 / 720	144164 ms 121919/386 31-0-122	E: 1481 / 744
144. E1/E2 	8524 / 742	142287 ms 122240/383 31-0-126	E: 1770 / 839
145. E1/E2 	8453 / 741	145565 ms 123083/386 31-0-126	E: 1672 / 873
146. E1/E2 	8466 / 700	142142 ms 122431/377 31-0-117	E: 1608 / 679
147. E1/E2 	8490 / 688	143741 ms 121664/375 32-0-116	E: 1466 / 705
148. E1/E2 	8430 / 721	139463 ms 119788/370 31-0-122	E: 1568 / 751
149. E1/E2 	8345 / 695	144005 ms 121506/374 30-0-116	E: 1378 / 688
150. E1/E2 	8302 / 735	139324 ms 119991/374 30-0-126	E: 1658 / 775
151. E1/E2 	8252 / 658	141864 ms 119982/384 30-0-111	E: 2054 / 1067
152. E1/E2 	8335 / 684	139605 ms 119096/375 30-0-115	E: 2300 / 1098
153. E1/E2 	8226 / 717	142424 ms 120943/379 29-0-121	E: 1398 / 686
154. E1/E2 	8142 / 697	143249 ms 122184/386 29-0-120	E: 1577 / 804
155. E1/E2 	8256 / 728	146250 ms 123332/395 30-0-124	E: 2379 / 1373
156. E1/E2 	8119 / 655	153822 ms 131407/637 31-0-119	E: 1633 / 815
157. E1/E2 	8103 / 683	146811 ms 123991/454 30-0-119	E: 1463 / 635
158. E1/E2 	8198 / 628	148255 ms 126783/519 31-0-111	E: 1363 / 676
159. E1/E2 	8123 / 668	146262 ms 125157/446 30-0-115	E: 1839 / 936
160. E1/E2 	7991 / 662	148993 ms 126137/485 30-0-116	E: 1413 / 681
161. E1/E2 	7950 / 648	148627 ms 126510/514 30-0-114	E: 1501 / 727
162. E1/E2 	8136 / 678	146292 ms 126137/465 30-0-121	E: 1627 / 816
163. E1/E2 	8033 / 627	146224 ms 123889/453 30-0-109	E: 1324 / 632
164. E1/E2 	7991 / 641	146410 ms 124398/485 30-0-111	E: 1495 / 755
165. E1/E2 	7910 / 649	141412 ms 121274/382 29-0-112	E: 1672 / 875
166. E1/E2 	7995 / 652	144683 ms 122012/389 28-0-113	E: 1701 / 796
167. E1/E2 	7926 / 638	141346 ms 121081/390 28-0-110	E: 1670 / 832
168. E1/E2 	7886 / 635	142615 ms 121853/393 28-0-107	E: 1331 / 654
169. E1/E2 	7737 / 614	142461 ms 121308/375 27-0-103	E: 1481 / 717
170. E1/E2 	7894 / 643	139376 ms 119522/371 27-0-110	E: 1351 / 644
171. E1/E2 	7834 / 645	144202 ms 121484/388 27-0-111	E: 1837 / 888
172. E1/E2 	7700 / 632	143387 ms 123023/385 27-0-107	E: 1450 / 664
173. E1/E2 	7846 / 624	144894 ms 123275/390 27-0-107	E: 1460 / 693
174. E1/E2 	7982 / 612	142414 ms 121145/384 28-0-106	E: 1456 / 737
175. E1/E2 	7892 / 619	141766 ms 121802/383 28-0-105	E: 2400 / 1093
176. E1/E2 	7810 / 603	142671 ms 120477/375 27-0-102	E: 1540 / 767
177. E1/E2 	8053 / 628	140556 ms 120523/378 29-0-106	E: 1693 / 832
178. E1/E2 	7950 / 643	143151 ms 121510/381 29-0-109	E: 1449 / 703
179. E1/E2 	7969 / 619	140719 ms 120423/376 29-0-106	E: 1474 / 660
180. E1/E2 	7979 / 616	142125 ms 121223/376 29-0-105	E: 1414 / 667
181. E1/E2 	7821 / 616	141267 ms 120275/375 28-0-105	E: 1281 / 635
182. E1/E2 	7766 / 621	140262 ms 120896/378 27-0-107	E: 1771 / 746
183. E1/E2 	7850 / 608	142092 ms 119924/376 28-0-105	E: 1298 / 603
184. E1/E2 	7786 / 613	138671 ms 118955/370 27-0-104	E: 1587 / 704
185. E1/E2 	7809 / 612	140380 ms 120114/375 27-0-104	E: 1320 / 609
186. E1/E2 	7903 / 598	140376 ms 119490/370 27-0-104	E: 1629 / 695
187. E1/E2 	7810 / 605	139962 ms 120269/375 27-0-103	E: 1740 / 869
188. E1/E2 	7829 / 571	141902 ms 119694/374 27-0-98	E: 1833 / 750
189. E1/E2 	7716 / 600	139352 ms 119634/373 27-0-103	E: 1568 / 715
190. E1/E2 	7702 / 604	141504 ms 120884/381 27-0-103	E: 1618 / 743
191. E1/E2 	7714 / 605	140069 ms 119174/373 27-0-103	E: 1473 / 675
192. E1/E2 	7690 / 580	139187 ms 119735/381 27-0-100	E: 1362 / 648
193. E1/E2 	7659 / 624	141702 ms 119901/378 27-0-107	E: 1212 / 598
194. E1/E2 	7555 / 618	139520 ms 119288/373 26-0-105	E: 1620 / 767
195. E1/E2 	7516 / 576	140361 ms 119552/375 26-0-99	E: 1407 / 666
196. E1/E2 	7565 / 600	141542 ms 120528/378 26-0-102	E: 1641 / 791
197. E1/E2 	7643 / 594	141916 ms 121378/384 27-0-102	E: 1384 / 664
198. E1/E2 	7544 / 587	144329 ms 122194/396 26-0-100	E: 1459 / 694
199. E1/E2 	7474 / 566	142281 ms 122491/386 26-0-98	E: 1688 / 827
200. E1/E2 	7586 / 578	144154 ms 122248/382 27-0-102	E: 1354 / 679
201. E1/E2 	7450 / 587	141173 ms 120728/374 26-0-99	E: 1181 / 600
202. E1/E2 	7544 / 585	141533 ms 121063/375 27-0-101	E: 1571 / 702
203. E1/E2 	7401 / 592	142252 ms 120311/371 26-0-101	E: 1739 / 802
204. E1/E2 	7567 / 562	140534 ms 120257/372 26-0-95	E: 1366 / 723
205. E1/E2 	7395 / 531	140734 ms 120666/372 26-0-90	E: 1450 / 689
206. E1/E2 	7532 / 557	142971 ms 121093/372 26-0-96	E: 1467 / 670
207. E1/E2 	7449 / 602	139957 ms 120318/370 26-0-103	E: 2093 / 835
208. E1/E2 	7361 / 577	142933 ms 120899/374 26-0-99	E: 1569 / 768
209. E1/E2 	7439 / 567	139932 ms 120273/372 26-0-97	E: 1630 / 742
210. E1/E2 	7449 / 568	141770 ms 120747/371 26-0-97	E: 1534 / 687
211. E1/E2 	7345 / 547	142565 ms 120902/376 26-0-93	E: 2230 / 838
212. E1/E2 	7385 / 529	141716 ms 121965/386 26-0-91	E: 1509 / 695
213. E1/E2 	7308 / 571	143166 ms 120879/379 25-0-96	E: 1571 / 685
214. E1/E2 	7322 / 534	141627 ms 121520/382 25-0-92	E: 1295 / 629
215. E1/E2 	7446 / 585	144591 ms 123198/384 26-0-101	E: 1478 / 626
216. E1/E2 	7358 / 559	142851 ms 122306/383 26-0-95	E: 1689 / 880
217. E1/E2 	7314 / 529	143592 ms 122070/383 26-0-90	E: 1437 / 626
218. E1/E2 	7328 / 560	142272 ms 121585/376 26-0-95	E: 1519 / 732
219. E1/E2 	7313 / 510	145871 ms 124188/427 26-0-88	E: 1414 / 680
220. E1/E2 	7322 / 542	148339 ms 125694/466 26-0-96	E: 1718 / 741
221. E1/E2 	7289 / 559	149087 ms 126373/507 26-0-97	E: 1503 / 683
222. E1/E2 	7327 / 566	142769 ms 122115/384 25-0-97	E: 1525 / 771
223. E1/E2 	7246 / 545	144385 ms 122785/386 25-0-93	E: 1645 / 744
224. E1/E2 	7250 / 577	144296 ms 123121/397 26-0-98	E: 1468 / 675
225. E1/E2 	7277 / 525	144290 ms 123448/394 26-0-89	E: 1453 / 719
226. E1/E2 	7207 / 551	144452 ms 122712/389 25-0-94	E: 1588 / 716
227. E1/E2 	7177 / 535	140654 ms 120258/375 25-0-92	E: 1357 / 660
228. E1/E2 	7167 / 551	141487 ms 120054/378 25-0-94	E: 1544 / 759
229. E1/E2 	7200 / 541	140011 ms 120275/379 25-0-92	E: 1251 / 610
230. E1/E2 	7240 / 529	142204 ms 119765/377 25-0-91	E: 1381 / 642
231. E1/E2 	7178 / 491	139950 ms 120012/381 25-0-85	E: 1344 / 674
232. E1/E2 	7168 / 533	141305 ms 120163/378 25-0-92	E: 1725 / 742
233. E1/E2 	7152 / 525	140813 ms 119936/377 25-0-91	E: 1460 / 751
234. E1/E2 	7132 / 547	140507 ms 120456/386 25-0-94	E: 1391 / 657
235. E1/E2 	7215 / 544	141409 ms 120650/377 26-0-93	E: 1818 / 986
236. E1/E2 	7140 / 551	140830 ms 120491/378 26-0-93	E: 1493 / 719
237. E1/E2 	7168 / 499	143048 ms 120608/382 26-0-84	E: 1632 / 752
238. E1/E2 	7079 / 564	140189 ms 120971/381 26-0-95	E: 1462 / 671
239. E1/E2 	6949 / 547	142179 ms 120223/378 25-0-93	E: 1547 / 796
240. E1/E2 	7121 / 515	140176 ms 120419/381 26-0-88	E: 1846 / 723
241. E1/E2 	7099 / 497	141897 ms 120493/380 26-0-85	E: 1740 / 675
242. E1/E2 	7082 / 489	140703 ms 119733/376 26-0-83	E: 1766 / 643
243. E1/E2 	7106 / 523	142145 ms 121679/383 26-0-91	E: 1436 / 691
244. E1/E2 	7113 / 514	140911 ms 120033/374 26-0-88	E: 1601 / 685
245. E1/E2 	7023 / 529	141440 ms 120748/380 26-0-90	E: 1403 / 680
246. E1/E2 	7057 / 502	143015 ms 121340/380 26-0-85	E: 1640 / 699
247. E1/E2 	6949 / 513	140423 ms 120714/380 25-0-87	E: 1238 / 598
248. E1/E2 	7008 / 503	142124 ms 120343/380 25-0-86	E: 1428 / 673
