96. E1/E2 	19491 / 3310	19822 ms 14607/255 266-2179-206	E: 3038 / 2003
97. E1/E2 	19572 / 3285	18714 ms 13582/248 275-2035-208	E: 3426 / 2255
98. E1/E2 	19492 / 3326	19551 ms 13978/253 260-2143-213	E: 3289 / 2001
99. E1/E2 	19455 / 3317	19556 ms 14070/253 254-2096-415	E: 3000 / 1810
100. E1/E2 	19476 / 3310	22892 ms 17399/265 233-2319-315	E: 3510 / 1930
101. E1/E2 	19528 / 3347	19596 ms 14179/251 249-2144-418	E: 3485 / 2264
102. E1/E2 	19436 / 3345	18682 ms 13508/245 254-2045-310	E: 3910 / 2869
103. E1/E2 	19361 / 3372	19120 ms 13977/252 247-2118-104	E: 2855 / 1846
104. E1/E2 	19368 / 3282	20738 ms 15127/259 237-2180-523	E: 3814 / 2752
105. E1/E2 	19364 / 3274	19676 ms 14169/253 267-2126-520	E: 3806 / 2709
106. E1/E2 	19284 / 3164	18908 ms 13435/245 264-1956-724	E: 3310 / 2057
107. E1/E2 	19225 / 3147	18723 ms 13420/247 270-1946-514	E: 3305 / 2152
108. E1/E2 	19290 / 3223	19290 ms 13736/253 263-2045-207	E: 3460 / 2314
109. E1/E2 	19035 / 3118	20566 ms 15046/259 248-2098-584	E: 2944 / 1823
110. E1/E2 	19025 / 3205	20711 ms 15307/261 236-2161-311	E: 3734 / 2461
111. E1/E2 	18984 / 3206	19181 ms 13792/245 239-2003-413	E: 3278 / 2051
112. E1/E2 	19065 / 3171	18435 ms 13390/245 258-1938-311	E: 3318 / 2123
113. E1/E2 	18879 / 3144	18682 ms 13374/246 234-1916-619	E: 2902 / 1885
114. E1/E2 	18821 / 3049	18432 ms 13529/242 234-1874-206	E: 3412 / 2392
115. E1/E2 	18801 / 3189	18472 ms 13568/242 245-1967-1	E: 3013 / 2078
116. E1/E2 	18913 / 3140	41831 ms 28461/456 1370-5484-1290	E: 2897 / 1737
117. E1/E2 	18813 / 3099	40152 ms 27897/458 1398-5458-226	E: 3613 / 2587
118. E1/E2 	18855 / 3105	39455 ms 27230/456 1433-5466-216	E: 3512 / 1669
119. E1/E2 	18796 / 3157	41146 ms 28403/466 1387-5534-431	E: 3260 / 2081
120. E1/E2 	18720 / 3146	41440 ms 28946/463 1303-5421-417	E: 2833 / 1872
121. E1/E2 	18754 / 3162	41546 ms 29053/469 1274-5370-622	E: 3154 / 1849
122. E1/E2 	18772 / 3127	41246 ms 29061/476 1341-5469-2	E: 2956 / 1771
123. E1/E2 	18715 / 3148	41019 ms 29050/479 1289-5388-2	E: 2977 / 1897
124. E1/E2 	18778 / 3195	40474 ms 28122/464 1351-5500-210	E: 2941 / 1965
125. E1/E2 	18811 / 3135	40438 ms 27275/444 1439-5548-1082	E: 3702 / 2136
126. E1/E2 	18673 / 3125	40013 ms 27158/445 1414-5466-871	E: 2925 / 1914
127. E1/E2 	18752 / 3177	40813 ms 27337/452 1438-5643-1106	E: 3433 / 2324
128. E1/E2 	18618 / 3101	41455 ms 28548/470 1299-5341-834	E: 2973 / 1899
129. E1/E2 	18722 / 3085	40896 ms 27522/450 1372-5346-1497	E: 3037 / 2011
130. E1/E2 	18564 / 3020	40551 ms 28299/457 1346-5262-424	E: 3248 / 2102
131. E1/E2 	18569 / 3072	40279 ms 27775/451 1309-5223-641	E: 3505 / 2395
132. E1/E2 	18501 / 3070	41077 ms 28162/475 1321-5290-1062	E: 3016 / 1945
133. E1/E2 	18374 / 3047	41376 ms 28547/468 1349-5387-668	E: 4079 / 2400
134. E1/E2 	18506 / 3147	41179 ms 28352/458 1285-5383-846	E: 3196 / 2144
135. E1/E2 	18365 / 3065	40986 ms 27981/451 1346-5345-634	E: 4060 / 2093
136. E1/E2 	18455 / 3064	41981 ms 29078/468 1307-5345-1059	E: 3031 / 1948
137. E1/E2 	18397 / 3119	39399 ms 27515/443 1345-5423-1	E: 2942 / 1966
138. E1/E2 	18402 / 3056	41294 ms 28735/460 1339-5363-630	E: 2897 / 1726
139. E1/E2 	18279 / 3030	40338 ms 27957/456 1323-5232-632	E: 4255 / 2687
140. E1/E2 	18284 / 3106	41439 ms 28125/461 1319-5370-1295	E: 3648 / 2279
141. E1/E2 	18251 / 2982	40810 ms 28220/463 1341-5239-857	E: 3211 / 2234
142. E1/E2 	18336 / 3089	39789 ms 27114/439 1400-5472-658	E: 3518 / 2302
143. E1/E2 	18102 / 2930	39811 ms 27443/441 1369-5184-669	E: 3468 / 2418
144. E1/E2 	18212 / 2942	40084 ms 27297/442 1394-5230-1099	E: 3226 / 2243
145. E1/E2 	18288 / 3082	41494 ms 28961/463 1248-5238-827	E: 3221 / 1975
146. E1/E2 	18285 / 3041	39680 ms 27206/447 1402-5410-446	E: 3199 / 2092
147. E1/E2 	18234 / 2926	39742 ms 27432/451 1377-5151-657	E: 3081 / 1889
148. E1/E2 	18071 / 2964	39670 ms 27258/446 1390-5250-662	E: 5173 / 2913
