75. E1/E2 	10344 / 671 (1,0000)	441469 ms 337096/3955 3003-8730-88447	E: 0 / 0
76. E1/E2 	10563 / 705 (1,0000)	447049 ms 337364/3993 3076-9184-93192	E: 0 / 0
77. E1/E2 	10283 / 705 (1,0000)	446460 ms 337075/3952 2999-9166-93029	E: 0 / 0
78. E1/E2 	10295 / 653 (1,0000)	439192 ms 337433/3951 2993-8496-86079	E: 0 / 0
79. E1/E2 	10421 / 724 (1,0000)	448931 ms 337183/3952 3044-9399-95115	E: 0 / 0
80. E1/E2 	10428 / 651 (1,0000)	439396 ms 337609/3965 3030-8468-86084	E: 0 / 0
81. E1/E2 	10313 / 691 (1,0000)	444794 ms 337392/3959 3006-8990-91207	E: 0 / 0
82. E1/E2 	10347 / 635 (1,0000)	436487 ms 337361/3952 3017-8245-83672	E: 0 / 0
83. E1/E2 	10288 / 663 (1,0000)	440733 ms 337460/3941 2999-8615-87480	E: 0 / 0
84. E1/E2 	10352 / 664 (1,0000)	436886 ms 334669/3896 2964-8589-86538	E: 0 / 0
85. E1/E2 	10317 / 670 (1,0000)	441088 ms 336857/3953 3014-8697-88328	E: 0 / 0
86. E1/E2 	10474 / 667 (1,0000)	435645 ms 333127/3852 2982-8617-86848	E: 0 / 0
87. E1/E2 	10322 / 684 (1,0000)	440590 ms 335160/3907 2969-8869-89455	E: 0 / 0
88. E1/E2 	10272 / 675 (1,0000)	439955 ms 335878/3954 2859-8770-88279	E: 0 / 0
89. E1/E2 	10287 / 637 (1,0000)	426649 ms 329601/3760 2869-8146-82066	E: 0 / 0
90. E1/E2 	10171 / 641 (1,0000)	429772 ms 331373/3789 2896-8244-83255	E: 0 / 0
91. E1/E2 	10126 / 608 (1,0000)	424251 ms 330754/3773 2846-7805-78857	E: 0 / 0
92. E1/E2 	10291 / 619 (1,0000)	424305 ms 329743/3757 2893-7918-79783	E: 0 / 0
93. E1/E2 	10179 / 612 (1,0000)	424099 ms 330744/3777 2880-7828-78665	E: 0 / 0
94. E1/E2 	10179 / 598 (1,0000)	421722 ms 329805/3757 2847-7666-77442	E: 0 / 0
95. E1/E2 	10034 / 620 (1,0000)	423648 ms 329488/3745 2825-7916-79463	E: 0 / 0
96. E1/E2 	10118 / 677 (1,0000)	434780 ms 331375/3791 2892-8681-87819	E: 0 / 0
