	AN: 155	R: 4096/224	P: 0,4824-0,5248-0,5684
82. E1/E2 	512 / 65	40,4347 ms 
	AN: 156	R: 4096/226	P: 0,4795-0,5172-0,5674
83. E1/E2 	676 / 144	50,687 ms 
	AN: 159	R: 4096/228	P: 0,4780-0,5033-0,5317
84. E1/E2 	482 / 66	40,7851 ms 
	AN: 158	R: 4096/228	P: 0,4902-0,5414-0,5879
85. E1/E2 	373 / 41	38,2888 ms 
	AN: 157	R: 4096/229	P: 0,4678-0,5355-0,5947
86. E1/E2 	702 / 177	52,2281 ms 
	AN: 159	R: 4096/231	P: 0,4746-0,5058-0,5317
87. E1/E2 	1133 / 330	69,3135 ms 
	AN: 163	R: 4096/238	P: 0,4858-0,5008-0,5171
88. E1/E2 	927 / 174	62,931 ms 
	AN: 160	R: 4096/241	P: 0,4678-0,5064-0,5493
89. E1/E2 	765 / 102	45,7217 ms 
	AN: 160	R: 4096/243	P: 0,4810-0,5279-0,5850
90. E1/E2 	506 / 53	40,9333 ms 
	AN: 158	R: 4096/244	P: 0,4771-0,5091-0,5562
91. E1/E2 	397 / 43	38,4719 ms 
	AN: 156	R: 4096/244	P: 0,4814-0,5304-0,5874
92. E1/E2 	333 / 20	45,591 ms 
	AN: 155	R: 4096/242	P: 0,4907-0,5620-0,6416
93. E1/E2 	314 / 24	36,1527 ms 
	AN: 155	R: 4096/243	P: 0,4702-0,5654-0,6221
94. E1/E2 	344 / 31	38,3407 ms 
	AN: 156	R: 4096/241	P: 0,4370-0,5488-0,6191
95. E1/E2 	331 / 21	47,8273 ms 
	AN: 157	R: 4096/243	P: 0,4878-0,5587-0,6304
96. E1/E2 	244 / 14	37,9494 ms 
	AN: 156	R: 4096/241	P: 0,4951-0,5946-0,6499
97. E1/E2 	220 / 10	35,1056 ms 
	AN: 155	R: 4096/237	P: 0,4995-0,5826-0,6509
98. E1/E2 	193 / 7	40,7219 ms 
	AN: 155	R: 4096/239	P: 0,4932-0,5869-0,6519
99. E1/E2 	152 / 8	38,6019 ms 
	AN: 155	R: 4096/239	P: 0,4995-0,5972-0,6519
100. E1/E2 	134 / 4	35,3726 ms 
	AN: 155	R: 4096/235	P: 0,4814-0,5987-0,6519
101. E1/E2 	191 / 15	39,7783 ms 
	AN: 155	R: 4096/241	P: 0,4937-0,5497-0,6421
102. E1/E2 	195 / 6	37,1244 ms 
	AN: 155	R: 4096/237	P: 0,4961-0,5995-0,6519
103. E1/E2 	175 / 7	34,0209 ms 
	AN: 155	R: 4096/237	P: 0,4897-0,5975-0,6519
104. E1/E2 	149 / 2	38,6307 ms 
	AN: 155	R: 4096/231	P: 0,4790-0,5914-0,6519
105. E1/E2 	160 / 7	35,6762 ms 
	AN: 155	R: 4096/238	P: 0,4927-0,6010-0,6519
106. E1/E2 	140 / 1	36,5655 ms 
107. E1/E2 	136 / 3	34,9349 ms 
	AN: 155	R: 4096/234	P: 0,4937-0,6006-0,6519
108. E1/E2 	149 / 1	34,9324 ms 
109. E1/E2 	120 / 3	35,9656 ms 
	AN: 155	R: 4096/229	P: 0,4995-0,6012-0,6519
110. E1/E2 	127 / 10	36,2395 ms 
	AN: 155	R: 4096/238	P: 0,4995-0,6002-0,6519
111. E1/E2 	120 / 2	35,6163 ms 
	AN: 155	R: 4096/233	P: 0,4941-0,6012-0,6519
112. E1/E2 	113 / 4	34,1687 ms 
	AN: 155	R: 4096/234	P: 0,4956-0,6012-0,6519
113. E1/E2 	195 / 7	36,2727 ms 
	AN: 155	R: 4096/237	P: 0,4873-0,5994-0,6519
114. E1/E2 	205 / 12	43,6236 ms 
	AN: 155	R: 4096/240	P: 0,4883-0,5951-0,6519
115. E1/E2 	163 / 3	40,4719 ms 
	AN: 155	R: 4096/235	P: 0,4980-0,6005-0,6519
116. E1/E2 	149 / 12	36,0034 ms 
	AN: 155	R: 4096/241	P: 0,4824-0,5739-0,6489
117. E1/E2 	163 / 11	41,4236 ms 
	AN: 156	R: 4096/239	P: 0,4805-0,5846-0,6509
118. E1/E2 	174 / 6	35,0187 ms 
	AN: 155	R: 4096/238	P: 0,4814-0,5926-0,6631
119. E1/E2 	144 / 5	36,4887 ms 
	AN: 155	R: 4096/238	P: 0,4980-0,5848-0,6445
120. E1/E2 	132 / 7	34,806 ms 
	AN: 155	R: 4096/237	P: 0,4995-0,5863-0,6450
121. E1/E2 	131 / 7	40,7884 ms 
	AN: 155	R: 4096/240	P: 0,4746-0,6059-0,6987
122. E1/E2 	143 / 4	34,82 ms 
	AN: 155	R: 4096/235	P: 0,4985-0,5962-0,6597
123. E1/E2 	134 / 10	35,6281 ms 
	AN: 156	R: 4096/239	P: 0,4990-0,5970-0,6519
124. E1/E2 	124 / 6	34,9502 ms 
	AN: 156	R: 4096/238	P: 0,4995-0,6012-0,6519
125. E1/E2 	126 / 3	34,3582 ms 
