98. E1/E2 	38 / 0	29,3409 ms 16/12	P: 0,5000-0,6348-1,0000
99. E1/E2 	34 / 1	23,2979 ms 12/11	P: 0,5000-0,6348-1,0000
100. E1/E2 	18 / 0	24,1102 ms 13/10	P: 0,5000-0,6348-1,0000
101. E1/E2 	24 / 0	23,4038 ms 12/10	P: 0,5000-0,6348-1,0000
102. E1/E2 	28 / 0	24,258 ms 13/11	P: 0,5000-0,6348-1,0000
103. E1/E2 	31 / 0	23,8864 ms 13/10	P: 0,5000-0,6348-1,0000
104. E1/E2 	26 / 0	22,7485 ms 12/10	P: 0,5000-0,6348-1,0000
105. E1/E2 	26 / 1	25,0556 ms 14/10	P: 0,5000-0,6348-1,0000
106. E1/E2 	31 / 0	24,643 ms 13/10	P: 0,5000-0,6348-1,0000
107. E1/E2 	14 / 1	22,5401 ms 12/10	P: 0,5000-0,6348-1,0000
108. E1/E2 	22 / 0	25,0394 ms 14/11	P: 0,5000-0,6348-1,0000
109. E1/E2 	32 / 0	23,297 ms 12/10	P: 0,5000-0,6348-1,0000
110. E1/E2 	24 / 0	24,3137 ms 13/10	P: 0,5000-0,6348-1,0000
111. E1/E2 	18 / 0	31,4453 ms 13/17	P: 0,5000-0,6348-1,0000
112. E1/E2 	25 / 0	22,2505 ms 11/10	P: 0,5000-0,6348-1,0000
113. E1/E2 	30 / 0	25,4073 ms 14/11	P: 0,5000-0,6348-1,0000
114. E1/E2 	32 / 2	25,0425 ms 14/10	P: 0,5000-0,6348-1,0000
115. E1/E2 	25 / 2	24,353 ms 13/11	P: 0,5000-0,6348-1,0000
116. E1/E2 	21 / 1	23,9078 ms 13/10	P: 0,5000-0,6348-1,0000
117. E1/E2 	22 / 2	23,2313 ms 12/10	P: 0,5000-0,6348-1,0000
118. E1/E2 	21 / 1	23,8965 ms 12/10	P: 0,5000-0,6348-1,0000
119. E1/E2 	28 / 1	23,8146 ms 13/10	P: 0,5000-0,6348-1,0000
120. E1/E2 	27 / 1	23,8378 ms 13/10	P: 0,5000-0,6348-1,0000
121. E1/E2 	25 / 0	26,0084 ms 14/11	P: 0,5000-0,6348-1,0000
122. E1/E2 	26 / 1	22,4632 ms 11/10	P: 0,5000-0,6348-1,0000
123. E1/E2 	21 / 1	23,765 ms 13/10	P: 0,5000-0,6348-1,0000
124. E1/E2 	24 / 1	23,1355 ms 12/10	P: 0,5000-0,6348-1,0000
125. E1/E2 	33 / 0	24,5782 ms 13/11	P: 0,5000-0,6348-1,0000
